TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
WAS,WAS vs. HOU,04/09/2023,L,240,109,41,97,42.3,14,45,31.1,13,21,61.9,14,37,51,28,11,5,13,21,-5
ORL,ORL @ MIA,04/09/2023,L,240,110,38,90,42.2,17,47,36.2,17,24,70.8,13,30,43,29,13,1,14,17,-13
ATL,ATL @ BOS,04/09/2023,L,240,114,44,97,45.4,11,39,28.2,15,19,78.9,16,34,50,27,11,5,9,12,-6
BOS,BOS vs. ATL,04/09/2023,W,240,120,42,89,47.2,25,54,46.3,11,14,78.6,12,35,47,33,5,3,15,13,6
MIL,MIL @ TOR,04/09/2023,L,240,105,38,82,46.3,12,34,35.3,17,21,81.0,7,31,38,28,5,2,14,13,-16
CHA,CHA @ CLE,04/09/2023,W,240,106,37,81,45.7,6,32,18.8,26,30,86.7,10,39,49,23,8,5,19,14,11
CLE,CLE vs. CHA,04/09/2023,L,240,95,35,89,39.3,10,37,27.0,15,16,93.8,11,33,44,27,9,5,16,24,-11
TOR,TOR vs. MIL,04/09/2023,W,240,121,48,95,50.5,11,33,33.3,14,16,87.5,7,38,45,29,8,2,9,19,16
DAL,DAL vs. SAS,04/09/2023,L,240,117,46,108,42.6,17,53,32.1,8,16,50.0,8,38,46,28,4,3,4,21,-21
SAS,SAS @ DAL,04/09/2023,W,240,138,51,104,49.0,15,38,39.5,21,30,70.0,13,56,69,31,2,3,12,13,21
OKC,OKC vs. MEM,04/09/2023,W,240,115,45,90,50.0,12,36,33.3,13,16,81.3,8,41,49,30,5,2,16,17,15
MIA,MIA vs. ORL,04/09/2023,W,240,123,45,83,54.2,18,44,40.9,15,20,75.0,7,37,44,30,10,3,18,20,13
HOU,HOU @ WAS,04/09/2023,W,240,114,44,90,48.9,6,21,28.6,20,28,71.4,13,38,51,24,8,6,15,15,5
MEM,MEM @ OKC,04/09/2023,L,240,100,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,8,4,12,16,-15
DEN,DEN vs. SAC,04/09/2023,W,240,109,42,84,50.0,7,28,25.0,18,25,72.0,15,36,51,25,11,2,20,15,14
SAC,SAC @ DEN,04/09/2023,L,240,95,37,85,43.5,11,43,25.6,10,15,66.7,10,24,34,24,7,6,15,18,-14
MIN,MIN vs. NOP,04/09/2023,W,240,113,39,82,47.6,13,36,36.1,22,31,71.0,8,34,42,25,7,8,17,22,5
NOP,NOP @ MIN,04/09/2023,L,240,108,40,90,44.4,3,21,14.3,25,29,86.2,11,38,49,18,13,3,15,24,-5
GSW,GSW @ POR,04/09/2023,W,240,157,58,96,60.4,27,49,55.1,14,16,87.5,9,49,58,47,13,6,16,18,56
POR,POR vs. GSW,04/09/2023,L,240,101,38,95,40.0,9,35,25.7,16,24,66.7,6,24,30,25,5,3,14,9,-56
PHX,PHX vs. LAC,04/09/2023,L,240,114,42,99,42.4,14,37,37.8,16,22,72.7,12,35,47,29,4,3,7,21,-5
LAC,LAC @ PHX,04/09/2023,W,240,119,49,100,49.0,5,23,21.7,16,24,66.7,14,39,53,22,3,5,10,18,5
PHI,PHI @ BKN,04/09/2023,W,240,134,53,101,52.5,14,32,43.8,14,19,73.7,13,37,50,31,10,5,13,23,29
BKN,BKN vs. PHI,04/09/2023,L,240,105,35,83,42.2,12,32,37.5,23,28,82.1,10,32,42,22,6,6,19,22,-29
LAL,LAL vs. UTA,04/09/2023,W,240,128,47,97,48.5,18,45,40.0,16,21,76.2,10,39,49,28,4,7,11,9,11
NYK,NYK vs. IND,04/09/2023,L,240,136,52,108,48.1,15,40,37.5,17,22,77.3,19,34,53,29,8,8,15,24,-5
UTA,UTA @ LAL,04/09/2023,L,240,117,51,101,50.5,10,35,28.6,5,6,83.3,7,38,45,31,4,4,11,16,-11
IND,IND @ NYK,04/09/2023,W,240,141,46,89,51.7,19,34,55.9,30,38,78.9,8,36,44,33,8,9,15,24,5
DET,DET @ CHI,04/09/2023,L,240,81,31,85,36.5,9,33,27.3,10,13,76.9,15,44,59,20,1,3,25,16,-22
CHI,CHI vs. DET,04/09/2023,W,240,103,40,95,42.1,6,30,20.0,17,22,77.3,11,37,48,21,15,7,4,16,22
UTA,UTA vs. DEN,04/08/2023,W,240,118,44,100,44.0,11,35,31.4,19,23,82.6,17,42,59,30,9,2,16,18,4
DEN,DEN @ UTA,04/08/2023,L,240,114,41,90,45.6,15,46,32.6,17,24,70.8,5,36,41,32,7,9,14,20,-4
LAC,LAC vs. POR,04/08/2023,W,240,136,49,93,52.7,12,35,34.3,26,30,86.7,13,38,51,30,7,5,12,17,11
POR,POR @ LAC,04/08/2023,L,240,125,47,89,52.8,14,32,43.8,17,23,73.9,7,27,34,32,8,4,10,20,-11
SAS,SAS vs. MIN,04/08/2023,L,240,131,50,95,52.6,13,29,44.8,18,24,75.0,10,35,45,34,5,4,13,16,-20
MIN,MIN @ SAS,04/08/2023,W,240,151,56,101,55.4,24,43,55.8,15,21,71.4,11,34,45,42,8,8,7,18,20
SAC,SAC vs. GSW,04/07/2023,L,240,97,38,98,38.8,11,39,28.2,10,18,55.6,18,22,40,24,10,3,12,16,-22
CHA,CHA vs. HOU,04/07/2023,L,240,109,38,88,43.2,13,41,31.7,20,27,74.1,7,34,41,22,10,9,17,21,-3
HOU,HOU @ CHA,04/07/2023,W,240,112,42,89,47.2,7,21,33.3,21,28,75.0,14,34,48,21,11,9,19,23,3
DET,DET @ IND,04/07/2023,W,240,122,44,90,48.9,13,31,41.9,21,26,80.8,10,32,42,24,12,6,13,24,7
IND,IND vs. DET,04/07/2023,L,240,115,41,83,49.4,11,31,35.5,22,28,78.6,9,33,42,29,7,3,19,22,-7
WAS,WAS vs. MIA,04/07/2023,W,240,114,39,84,46.4,7,33,21.2,29,37,78.4,12,38,50,23,4,3,17,18,6
MIA,MIA @ WAS,04/07/2023,L,240,108,43,98,43.9,15,47,31.9,7,12,58.3,14,33,47,26,7,4,16,29,-6
PHI,PHI @ ATL,04/07/2023,W,265,136,51,102,50.0,11,22,50.0,23,29,79.3,13,39,52,33,10,2,20,22,5
ATL,ATL vs. PHI,04/07/2023,L,265,131,51,92,55.4,10,33,30.3,19,28,67.9,4,34,38,32,11,7,21,19,-5
MIL,MIL vs. MEM,04/07/2023,L,240,114,42,92,45.7,21,49,42.9,9,11,81.8,11,27,38,30,5,3,19,15,-23
BOS,BOS vs. TOR,04/07/2023,W,240,121,45,81,55.6,15,44,34.1,16,21,76.2,13,40,53,37,4,7,21,14,19
TOR,TOR @ BOS,04/07/2023,L,240,102,40,93,43.0,9,31,29.0,13,17,76.5,12,23,35,21,12,2,8,17,-19
ORL,ORL @ BKN,04/07/2023,L,240,84,31,87,35.6,7,38,18.4,15,17,88.2,15,42,57,17,6,6,21,19,-17
BKN,BKN vs. ORL,04/07/2023,W,240,101,35,89,39.3,9,42,21.4,22,25,88.0,10,35,45,27,14,3,10,12,17
MEM,MEM @ MIL,04/07/2023,W,240,137,53,93,57.0,20,42,47.6,11,15,73.3,11,33,44,39,9,6,12,20,23
NOP,NOP vs. NYK,04/07/2023,W,240,113,42,79,53.2,10,28,35.7,19,20,95.0,4,39,43,27,4,7,12,17,8
NYK,NYK @ NOP,04/07/2023,L,240,105,38,88,43.2,14,43,32.6,15,20,75.0,7,30,37,19,5,2,10,17,-8
DAL,DAL vs. CHI,04/07/2023,L,240,112,42,93,45.2,18,55,32.7,10,13,76.9,7,36,43,23,7,3,10,15,-3
CHI,CHI @ DAL,04/07/2023,W,240,115,46,88,52.3,11,31,35.5,12,18,66.7,8,42,50,24,6,4,12,15,3
PHX,PHX @ LAL,04/07/2023,L,240,107,43,104,41.3,9,36,25.0,12,14,85.7,13,34,47,23,7,10,9,12,-14
LAL,LAL vs. PHX,04/07/2023,W,240,121,45,92,48.9,18,36,50.0,13,17,76.5,10,44,54,25,6,6,16,12,14
GSW,GSW @ SAC,04/07/2023,W,240,119,41,78,52.6,16,36,44.4,21,24,87.5,10,37,47,36,6,7,24,22,22
OKC,OKC @ UTA,04/06/2023,W,240,114,39,97,40.2,15,45,33.3,21,26,80.8,17,33,50,29,12,2,13,17,16
UTA,UTA vs. OKC,04/06/2023,L,240,98,41,83,49.4,5,31,16.1,11,16,68.8,7,38,45,24,5,2,19,23,-16
ORL,ORL vs. CLE,04/06/2023,L,240,94,33,83,39.8,13,39,33.3,15,19,78.9,9,30,39,21,8,8,22,11,-24
CLE,CLE @ ORL,04/06/2023,W,240,118,46,88,52.3,18,38,47.4,8,9,88.9,9,33,42,31,13,7,17,21,24
MIA,MIA @ PHI,04/06/2023,W,240,129,49,88,55.7,18,39,46.2,13,15,86.7,10,32,42,39,3,0,11,13,28
PHI,PHI vs. MIA,04/06/2023,L,240,101,39,76,51.3,10,36,27.8,13,15,86.7,3,29,32,23,7,4,17,18,-28
POR,POR @ SAS,04/06/2023,L,240,127,51,96,53.1,10,28,35.7,15,18,83.3,8,28,36,34,7,14,16,22,-2
DEN,DEN @ PHX,04/06/2023,L,240,115,44,83,53.0,8,23,34.8,19,23,82.6,9,29,38,24,7,2,13,19,-4
PHX,PHX vs. DEN,04/06/2023,W,240,119,41,79,51.9,17,36,47.2,20,25,80.0,7,26,33,26,4,6,10,16,4
SAS,SAS vs. POR,04/06/2023,W,240,129,47,106,44.3,10,35,28.6,25,28,89.3,18,29,47,29,9,4,15,12,2
LAC,LAC vs. LAL,04/05/2023,W,240,125,43,82,52.4,16,36,44.4,23,27,85.2,5,33,38,23,9,4,13,18,7
LAL,LAL @ LAC,04/05/2023,L,240,118,45,89,50.6,12,29,41.4,16,24,66.7,10,34,44,27,4,3,14,17,-7
SAC,SAC @ DAL,04/05/2023,L,240,119,46,106,43.4,12,37,32.4,15,19,78.9,22,35,57,31,7,1,9,19,-4
DAL,DAL vs. SAC,04/05/2023,W,240,123,44,89,49.4,20,44,45.5,15,18,83.3,7,32,39,24,4,7,10,18,4
NOP,NOP vs. MEM,04/05/2023,W,265,138,44,88,50.0,21,39,53.8,29,39,74.4,8,36,44,35,9,8,16,22,7
MEM,MEM @ NOP,04/05/2023,L,265,131,50,104,48.1,12,36,33.3,19,25,76.0,15,34,49,33,10,6,14,25,-7
CHI,CHI @ MIL,04/05/2023,L,240,92,36,83,43.4,11,33,33.3,9,11,81.8,5,33,38,28,10,3,15,11,-13
BKN,BKN @ DET,04/05/2023,W,240,123,45,86,52.3,17,43,39.5,16,23,69.6,11,27,38,36,6,7,13,12,15
NYK,NYK @ IND,04/05/2023,W,240,138,52,100,52.0,18,46,39.1,16,25,64.0,20,32,52,34,13,8,18,21,9
BOS,BOS vs. TOR,04/05/2023,W,240,97,38,89,42.7,11,38,28.9,10,18,55.6,11,37,48,20,5,7,15,14,4
TOR,TOR @ BOS,04/05/2023,L,240,93,37,90,41.1,6,33,18.2,13,17,76.5,13,37,50,20,10,7,12,19,-4
IND,IND vs. NYK,04/05/2023,L,240,129,45,87,51.7,15,30,50.0,24,30,80.0,10,27,37,33,6,5,17,17,-9
WAS,WAS @ ATL,04/05/2023,L,240,116,45,94,47.9,6,28,21.4,20,26,76.9,12,27,39,23,10,9,14,26,-18
MIL,MIL vs. CHI,04/05/2023,W,240,105,39,92,42.4,18,46,39.1,9,11,81.8,13,40,53,26,7,3,13,13,13
ATL,ATL vs. WAS,04/05/2023,W,240,134,43,84,51.2,13,30,43.3,35,40,87.5,12,36,48,30,10,5,17,23,18
DET,DET vs. BKN,04/05/2023,L,240,108,41,84,48.8,13,28,46.4,13,14,92.9,9,25,34,27,5,3,14,18,-15
DET,DET vs. MIA,04/04/2023,L,240,105,36,73,49.3,11,28,39.3,22,27,81.5,6,29,35,21,5,2,14,22,-13
MIA,MIA @ DET,04/04/2023,W,240,118,41,80,51.3,13,36,36.1,23,26,88.5,5,28,33,26,12,2,8,18,13
ORL,ORL vs. CLE,04/04/2023,L,240,113,45,89,50.6,10,23,43.5,13,17,76.5,13,34,47,25,6,1,13,22,-4
CLE,CLE @ ORL,04/04/2023,W,240,117,42,84,50.0,15,31,48.4,18,20,90.0,5,25,30,23,3,7,9,16,4
WAS,WAS vs. MIL,04/04/2023,L,240,128,50,99,50.5,13,27,48.1,15,21,71.4,9,33,42,30,7,4,9,21,-12
MIL,MIL @ WAS,04/04/2023,W,240,140,50,92,54.3,23,42,54.8,17,29,58.6,12,44,56,33,6,7,18,19,12
MIN,MIN @ BKN,04/04/2023,W,240,107,41,85,48.2,8,24,33.3,17,22,77.3,7,37,44,21,7,6,12,13,5
BKN,BKN vs. MIN,04/04/2023,L,240,102,39,90,43.3,13,35,37.1,11,14,78.6,7,33,40,21,6,8,10,18,-5
DEN,DEN @ HOU,04/04/2023,L,240,103,41,87,47.1,11,36,30.6,10,18,55.6,13,34,47,26,9,13,20,18,-21
HOU,HOU vs. DEN,04/04/2023,W,240,124,47,102,46.1,12,31,38.7,18,24,75.0,20,35,55,23,12,3,13,16,21
BOS,BOS @ PHI,04/04/2023,L,240,101,38,91,41.8,15,45,33.3,10,16,62.5,13,30,43,28,4,4,8,17,-2
PHI,PHI vs. BOS,04/04/2023,W,240,103,39,78,50.0,11,29,37.9,14,16,87.5,6,31,37,21,3,7,12,21,2
MEM,MEM vs. POR,04/04/2023,W,240,119,42,87,48.3,18,48,37.5,17,22,77.3,8,41,49,30,5,5,12,10,10
POR,POR @ MEM,04/04/2023,L,240,109,42,97,43.3,14,42,33.3,11,17,64.7,13,36,49,23,7,7,10,18,-10
SAC,SAC @ NOP,04/04/2023,W,240,121,46,91,50.5,17,42,40.5,12,15,80.0,11,32,43,35,8,4,12,22,18
NOP,NOP vs. SAC,04/04/2023,L,240,103,37,84,44.0,7,20,35.0,22,27,81.5,9,28,37,20,6,4,14,14,-18
OKC,OKC @ GSW,04/04/2023,L,240,125,44,93,47.3,11,32,34.4,26,35,74.3,13,25,38,23,4,1,10,22,-11
GSW,GSW vs. OKC,04/04/2023,W,240,136,47,95,49.5,20,47,42.6,22,30,73.3,19,35,54,25,6,6,14,22,11
SAS,SAS @ PHX,04/04/2023,L,240,94,35,90,38.9,13,40,32.5,11,14,78.6,9,29,38,25,7,5,12,16,-21
TOR,TOR @ CHA,04/04/2023,W,240,120,42,88,47.7,15,33,45.5,21,28,75.0,10,31,41,27,13,7,7,18,20
CHA,CHA vs. TOR,04/04/2023,L,240,100,36,77,46.8,12,31,38.7,16,19,84.2,6,36,42,27,3,4,18,22,-20
PHX,PHX vs. SAS,04/04/2023,W,240,115,43,89,48.3,10,33,30.3,19,26,73.1,15,42,57,25,7,7,14,12,21
LAL,LAL @ UTA,04/04/2023,W,265,135,48,96,50.0,12,34,35.3,27,35,77.1,11,33,44,27,6,7,12,21,2
UTA,UTA vs. LAL,04/04/2023,L,265,133,47,90,52.2,15,33,45.5,24,31,77.4,6,35,41,29,4,3,14,28,-2
CHI,CHI vs. ATL,04/04/2023,L,240,105,41,89,46.1,7,31,22.6,16,20,80.0,6,26,32,16,8,6,8,18,-18
CHA,CHA vs. TOR,04/02/2023,L,240,108,42,85,49.4,15,31,48.4,9,13,69.2,10,27,37,26,3,4,18,11,-20
TOR,TOR @ CHA,04/02/2023,W,240,128,56,104,53.8,8,28,28.6,8,8,100,15,30,45,38,8,6,8,14,20
HOU,HOU vs. LAL,04/02/2023,L,240,109,44,102,43.1,13,34,38.2,8,10,80.0,16,28,44,23,4,4,10,18,-25
LAL,LAL @ HOU,04/02/2023,W,240,134,52,93,55.9,9,30,30.0,21,28,75.0,11,40,51,36,4,8,6,9,25
DAL,DAL @ ATL,04/02/2023,L,265,130,49,95,51.6,10,38,26.3,22,32,68.8,10,37,47,24,4,3,14,15,-2
ATL,ATL vs. DAL,04/02/2023,W,265,132,51,108,47.2,12,35,34.3,18,22,81.8,16,37,53,28,10,3,11,22,2
IND,IND @ CLE,04/02/2023,L,240,105,36,83,43.4,9,24,37.5,24,29,82.8,11,33,44,21,5,6,17,26,-10
WAS,WAS @ NYK,04/02/2023,L,240,109,39,79,49.4,16,37,43.2,15,18,83.3,5,33,38,26,9,5,19,18,-9
NYK,NYK vs. WAS,04/02/2023,W,240,118,46,88,52.3,13,32,40.6,13,18,72.2,7,32,39,31,12,4,12,17,9
DET,DET @ ORL,04/02/2023,L,240,102,32,78,41.0,9,33,27.3,29,36,80.6,9,29,38,22,4,1,16,29,-26
ORL,ORL vs. DET,04/02/2023,W,240,128,43,75,57.3,17,33,51.5,25,40,62.5,7,34,41,30,11,6,16,26,26
BKN,BKN vs. UTA,04/02/2023,W,240,111,38,86,44.2,9,32,28.1,26,34,76.5,7,33,40,25,6,2,9,26,1
UTA,UTA @ BKN,04/02/2023,L,240,110,40,91,44.0,8,32,25.0,22,30,73.3,11,41,52,24,5,1,11,23,-1
POR,POR @ MIN,04/02/2023,W,240,107,43,93,46.2,9,30,30.0,12,20,60.0,11,31,42,29,12,3,10,26,2
MIN,MIN vs. POR,04/02/2023,L,240,105,38,79,48.1,11,26,42.3,18,23,78.3,7,40,47,29,3,5,18,17,-2
SAS,SAS @ SAC,04/02/2023,W,265,142,52,98,53.1,13,34,38.2,25,29,86.2,14,38,52,31,8,3,18,25,8
SAC,SAC vs. SAS,04/02/2023,L,265,134,49,103,47.6,11,44,25.0,25,32,78.1,13,30,43,24,9,5,15,23,-8
CHI,CHI vs. MEM,04/02/2023,W,240,128,50,94,53.2,9,31,29.0,19,22,86.4,4,32,36,29,9,6,3,13,21
MEM,MEM @ CHI,04/02/2023,L,240,107,39,84,46.4,19,43,44.2,10,12,83.3,8,39,47,29,1,3,18,22,-21
PHI,PHI @ MIL,04/02/2023,L,240,104,40,87,46.0,12,36,33.3,12,13,92.3,11,25,36,19,3,2,11,17,-13
MIL,MIL vs. PHI,04/02/2023,W,240,117,46,80,57.5,10,28,35.7,15,21,71.4,7,35,42,28,8,5,12,17,13
CLE,CLE vs. IND,04/02/2023,W,240,115,44,90,48.9,9,24,37.5,18,26,69.2,13,30,43,23,7,7,13,22,10
DEN,DEN vs. GSW,04/02/2023,W,240,112,44,100,44.0,9,33,27.3,15,18,83.3,17,30,47,24,11,7,13,17,2
GSW,GSW @ DEN,04/02/2023,L,240,110,42,105,40.0,9,42,21.4,17,17,100,22,35,57,26,9,4,15,22,-2
OKC,OKC vs. PHX,04/02/2023,L,240,118,36,88,40.9,11,32,34.4,35,41,85.4,13,28,41,21,7,0,8,23,-10
PHX,PHX @ OKC,04/02/2023,W,240,128,46,81,56.8,13,34,38.2,23,28,82.1,5,33,38,31,4,6,13,30,10
DAL,DAL @ MIA,04/01/2023,L,240,122,47,77,61.0,14,34,41.2,14,16,87.5,1,30,31,32,3,2,14,23,-7
MIA,MIA vs. DAL,04/01/2023,W,240,129,45,86,52.3,13,37,35.1,26,29,89.7,10,26,36,27,6,0,11,16,7
NOP,NOP vs. LAC,04/01/2023,W,240,122,42,86,48.8,7,17,41.2,31,35,88.6,14,26,40,21,6,5,7,15,8
LAC,LAC @ NOP,04/01/2023,L,240,114,42,85,49.4,11,29,37.9,19,23,82.6,11,26,37,25,5,4,13,29,-8
UTA,UTA @ BOS,03/31/2023,L,240,114,46,96,47.9,9,29,31.0,13,14,92.9,13,39,52,23,3,7,18,17,-8
OKC,OKC @ IND,03/31/2023,L,240,117,42,88,47.7,4,30,13.3,29,34,85.3,11,34,45,21,10,3,11,24,-4
DEN,DEN @ PHX,03/31/2023,L,240,93,38,95,40.0,6,26,23.1,11,20,55.0,15,36,51,19,11,5,11,16,-7
PHX,PHX vs. DEN,03/31/2023,W,240,100,37,88,42.0,10,27,37.0,16,21,76.2,13,38,51,28,8,7,16,16,7
IND,IND vs. OKC,03/31/2023,W,240,121,45,98,45.9,12,41,29.3,19,28,67.9,20,36,56,30,5,4,16,21,4
LAL,LAL @ MIN,03/31/2023,W,240,123,45,90,50.0,9,22,40.9,24,30,80.0,15,38,53,28,10,5,16,17,12
BOS,BOS vs. UTA,03/31/2023,W,240,122,42,96,43.8,17,51,33.3,21,22,95.5,10,32,42,27,8,4,12,14,8
BKN,BKN vs. ATL,03/31/2023,W,240,124,49,88,55.7,15,33,45.5,11,13,84.6,9,32,41,33,9,3,13,17,17
ATL,ATL @ BKN,03/31/2023,L,240,107,39,91,42.9,8,37,21.6,21,23,91.3,16,30,46,23,6,3,11,14,-17
CLE,CLE vs. NYK,03/31/2023,L,240,116,44,86,51.2,17,37,45.9,11,13,84.6,3,30,33,33,2,9,10,21,-14
CHI,CHI @ CHA,03/31/2023,W,240,121,45,88,51.1,13,31,41.9,18,22,81.8,9,33,42,25,12,4,7,13,30
GSW,GSW vs. SAS,03/31/2023,W,240,130,47,93,50.5,21,49,42.9,15,21,71.4,14,31,45,37,5,4,15,18,15
SAS,SAS @ GSW,03/31/2023,L,240,115,42,91,46.2,15,38,39.5,16,23,69.6,14,32,46,27,8,4,15,20,-15
SAC,SAC @ POR,03/31/2023,W,240,138,54,88,61.4,19,39,48.7,11,15,73.3,8,33,41,38,11,7,13,21,24
POR,POR vs. SAC,03/31/2023,L,240,114,40,85,47.1,19,38,50.0,15,23,65.2,9,24,33,29,9,6,20,15,-24
MIN,MIN vs. LAL,03/31/2023,L,240,111,41,95,43.2,13,39,33.3,16,19,84.2,12,27,39,25,10,4,16,22,-12
CHA,CHA vs. CHI,03/31/2023,L,240,91,35,77,45.5,14,37,37.8,7,10,70.0,4,32,36,27,3,5,22,21,-30
HOU,HOU vs. DET,03/31/2023,W,240,121,38,83,45.8,11,31,35.5,34,45,75.6,14,32,46,18,9,5,12,24,6
DET,DET @ HOU,03/31/2023,L,240,115,43,89,48.3,11,35,31.4,18,27,66.7,13,27,40,24,7,7,12,28,-6
LAC,LAC @ MEM,03/31/2023,L,240,94,34,90,37.8,11,35,31.4,15,18,83.3,12,38,50,26,5,8,18,14,-14
NYK,NYK @ CLE,03/31/2023,W,240,130,49,93,52.7,17,36,47.2,15,24,62.5,16,32,48,24,6,5,10,12,14
MEM,MEM vs. LAC,03/31/2023,W,240,108,43,96,44.8,9,33,27.3,13,17,76.5,12,39,51,25,11,7,15,16,14
ORL,ORL @ WAS,03/31/2023,W,240,116,44,88,50.0,8,24,33.3,20,26,76.9,6,42,48,26,2,14,11,16,7
WAS,WAS vs. ORL,03/31/2023,L,240,109,41,105,39.0,17,50,34.0,10,12,83.3,15,36,51,24,5,5,13,24,-7
PHI,PHI vs. TOR,03/31/2023,W,240,117,41,73,56.2,12,31,38.7,23,25,92.0,9,28,37,28,7,6,18,20,7
TOR,TOR @ PHI,03/31/2023,L,240,110,42,84,50.0,8,26,30.8,18,23,78.3,14,20,34,26,6,3,13,19,-7
DEN,DEN vs. NOP,03/30/2023,L,240,88,32,80,40.0,4,28,14.3,20,32,62.5,11,29,40,21,4,5,10,21,-19
NOP,NOP @ DEN,03/30/2023,W,240,107,38,80,47.5,13,27,48.1,18,22,81.8,8,38,46,22,6,1,12,24,19
BOS,BOS vs. MIL,03/30/2023,W,240,140,51,91,56.0,22,43,51.2,16,20,80.0,7,40,47,28,8,5,9,18,41
MIL,MIL vs. BOS,03/30/2023,L,240,99,38,101,37.6,14,43,32.6,9,13,69.2,15,30,45,22,4,1,13,16,-41
OKC,OKC vs. DET,03/29/2023,W,240,107,39,87,44.8,10,29,34.5,19,25,76.0,10,28,38,19,7,3,10,18,1
DET,DET @ OKC,03/29/2023,L,240,106,40,80,50.0,16,33,48.5,10,14,71.4,10,32,42,27,1,3,18,22,-1
DAL,DAL @ PHI,03/29/2023,L,240,108,38,83,45.8,18,46,39.1,14,18,77.8,8,32,40,24,3,3,14,22,-8
PHI,PHI vs. DAL,03/29/2023,W,240,116,37,80,46.3,17,36,47.2,25,30,83.3,11,32,43,26,9,4,11,19,8
UTA,UTA @ SAS,03/29/2023,W,240,128,49,90,54.4,12,31,38.7,18,20,90.0,8,37,45,28,5,6,16,17,11
SAS,SAS vs. UTA,03/29/2023,L,240,117,45,95,47.4,10,35,28.6,17,21,81.0,9,30,39,31,10,4,15,16,-11
MEM,MEM vs. LAC,03/29/2023,L,240,132,49,95,51.6,11,32,34.4,23,28,82.1,14,31,45,26,8,4,13,20,-9
LAC,LAC @ MEM,03/29/2023,W,240,141,48,78,61.5,22,37,59.5,23,31,74.2,3,29,32,28,8,4,16,21,9
NYK,NYK vs. MIA,03/29/2023,W,240,101,38,76,50.0,13,31,41.9,12,23,52.2,9,38,47,22,8,3,16,14,9
MIA,MIA @ NYK,03/29/2023,L,240,92,35,79,44.3,13,39,33.3,9,14,64.3,6,29,35,20,5,0,11,18,-9
HOU,HOU @ BKN,03/29/2023,L,240,114,46,98,46.9,9,30,30.0,13,21,61.9,20,32,52,21,9,2,10,18,-9
MIN,MIN @ PHX,03/29/2023,L,240,100,40,90,44.4,12,35,34.3,8,12,66.7,16,38,54,24,4,4,21,24,-7
PHX,PHX vs. MIN,03/29/2023,W,240,107,40,96,41.7,6,20,30.0,21,27,77.8,15,33,48,23,11,8,8,16,7
POR,POR vs. SAC,03/29/2023,L,240,80,30,93,32.3,9,39,23.1,11,12,91.7,8,37,45,18,5,6,14,15,-40
BKN,BKN vs. HOU,03/29/2023,W,240,123,44,82,53.7,17,35,48.6,18,27,66.7,8,33,41,33,4,9,12,18,9
